name;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;min_income;area
Nice room with superb city view,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905.0,3.0,65.0,2.0,353.0,5715.0,Central Bangkok;;;;;;;;;;;;
Spacious one bedroom at The Kris Condo Bldg. 3,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286.0,7.0,2.0,1.0,323.0,9002.0,Central Bangkok;;;;;;;;;;;;
Suite Room 3 at MetroPoint,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905.0,1.0,0.0,3.0,365.0,1905.0,East Bangkok;;;;;;;;;;;;
Condo with Chaopraya River View,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558.0,3.0,1.0,1.0,365.0,4674.0,South Bangkok;;;;;;;;;;;;
1 chic bedroom apartment in BKK,Jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461.0,1.0,0.0,1.0,365.0,1461.0,North Bangkok;;;;;;;;;;;;
Standard Room Decor do Hostel,Somsak,Khlong San,13.7204,100.50757,Private room,700.0,2.0,4.0,10.0,87.0,1400.0,West Bangkok;;;;;;;;;;;;
Sathorn Terrace Apartment(61),Tor,Bang Rak,13.71934,100.5176,Private room,1150.0,2.0,27.0,7.0,320.0,2300.0,Central Bangkok;;;;;;;;;;;;
2BR apt in a cozy neighborhood,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893.0,15.0,129.0,1.0,356.0,28395.0,Central Bangkok;;;;;;;;;;;;
Comfy bedroom near River pier & BTS  Taksin.,Tor,Sathon,13.71802,100.51539,Hotel room,1862.0,2.0,208.0,7.0,361.0,3724.0,South Bangkok;;;;;;;;;;;;
budget hotel bangkok near subway,Mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910.0,2.0,3.0,2.0,365.0,1820.0,Central Bangkok;;;;;;;;;;;;
Luxury@swimpool/FreeWiFi/nearJJMkt,Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156.0,1.0,0.0,1.0,365.0,4156.0,Central Bangkok;;;;;;;;;;;;
Pan Dao Condo 5 min from BTS On Nut,Dustin,Khlong Toei,13.70441,100.59968,Entire home/apt,1732.0,2.0,3.0,1.0,364.0,3464.0,Central Bangkok;;;;;;;;;;;;
1 penthouse in central Bangkok,Anya,Ratchathewi,13.7547,100.53268,Entire home/apt,3082.0,1.0,0.0,1.0,365.0,3082.0,Central Bangkok;;;;;;;;;;;;
Boutique Rooms Near Bangkok Airport,Parinya,Lat Krabang,13.721868,100.771713,Private room,1329.0,1.0,28.0,1.0,349.0,1329.0,East Bangkok;;;;;;;;;;;;
